Tue Nov 1 22:26:01 WIB 2022,9.6,15.09,34
Tue Nov 1 22:27:01 WIB 2022,12.3,15.09,34
Tue Nov 1 22:28:02 WIB 2022,9.6,15.09,34
Tue Nov 1 22:29:01 WIB 2022,7.2,15.09,34
Tue Nov 1 22:30:01 WIB 2022,13.7,15.09,34
Tue Nov 1 22:31:01 WIB 2022,6.9,15.09,34
Tue Nov 1 22:32:02 WIB 2022,11.3,15.08,34
Tue Nov 1 22:33:01 WIB 2022,5.6,15.09,34
Tue Nov 1 22:34:01 WIB 2022,7.2,15.09,34
Tue Nov 1 22:35:01 WIB 2022,10,15.09,34
Tue Nov 1 22:36:01 WIB 2022,7.2,15.10,34
Tue Nov 1 22:37:02 WIB 2022,8.5,15.09,34
Tue Nov 1 22:38:01 WIB 2022,4.3,15.10,34
Tue Nov 1 22:39:01 WIB 2022,8.6,15.10,34
Tue Nov 1 22:40:01 WIB 2022,18.2,15.09,34
Tue Nov 1 22:41:02 WIB 2022,13.9,15.09,34
Tue Nov 1 22:42:01 WIB 2022,8.6,15.10,34
Tue Nov 1 22:43:01 WIB 2022,8.5,15.10,34
Tue Nov 1 22:44:01 WIB 2022,8.3,15.09,34
Tue Nov 1 22:45:02 WIB 2022,7.1,15.10,34
Tue Nov 1 22:46:01 WIB 2022,5.8,15.10,34
Tue Nov 1 22:47:01 WIB 2022,8.5,15.10,34
Tue Nov 1 22:48:01 WIB 2022,7.1,15.10,34
Tue Nov 1 22:49:01 WIB 2022,7.1,15.10,34
Tue Nov 1 22:50:02 WIB 2022,17.6,15.10,34
Tue Nov 1 22:51:01 WIB 2022,8.3,15.10,34
Tue Nov 1 22:52:01 WIB 2022,8.3,15.09,34
Tue Nov 1 22:53:01 WIB 2022,8.6,15.10,34
Tue Nov 1 22:54:02 WIB 2022,5.7,15.10,34
Tue Nov 1 22:55:01 WIB 2022,7.1,15.10,34
Tue Nov 1 22:56:01 WIB 2022,9.7,15.10,34
Tue Nov 1 22:57:01 WIB 2022,7,15.10,34
Tue Nov 1 22:58:02 WIB 2022,8.6,15.12,34
Tue Nov 1 22:59:01 WIB 2022,7.2,15.10,34
